,name,locGrp,yr,ptlat_mean,ptlong_mean,wind_max,pressure_min,minlong_min,minlat_min,failTF_sum
51767,NoStorm1998,4,1998.0,38.338971799999996,-82.8146087,12.0,1050.0,-109.3,42.4,2.0
51815,NoStorm1998,5,1998.0,29.961008633333336,-95.07403921111111,12.0,1050.0,-109.3,42.4,9.0
51864,NoStorm1999,0,1999.0,31.968598800000002,-99.9018131,12.0,1050.0,-109.3,42.4,5.0
51912,NoStorm1999,1,1999.0,41.06210958571428,-74.5746791142857,12.0,1050.0,-109.3,42.4,7.0
51960,NoStorm1999,2,1999.0,29.912312866666667,-91.00912013333334,12.0,1050.0,-109.3,42.4,3.0
52008,NoStorm1999,3,1999.0,34.436025325,-83.568243525,12.0,1050.0,-109.3,42.4,4.0
52104,NoStorm1999,5,1999.0,30.394996338461535,-95.49948812307693,12.0,1050.0,-109.3,42.4,13.0
52153,NoStorm2000,0,2000.0,31.9685988,-99.9018131,12.0,1050.0,-109.3,42.4,1.0
52201,NoStorm2000,1,2000.0,40.4422668,-75.03706813333332,12.0,1050.0,-109.3,42.4,9.0
52249,NoStorm2000,2,2000.0,30.715663619999997,-89.36717974000001,12.0,1050.0,-109.3,42.4,5.0
52297,NoStorm2000,3,2000.0,32.986273475000004,-82.990995175,12.0,1050.0,-109.3,42.4,4.0
52393,NoStorm2000,5,2000.0,30.482867091666666,-95.2556434,12.0,1050.0,-109.3,42.4,12.0
52442,NoStorm2001,0,2001.0,32.1595947,-97.1500074,12.0,1050.0,-109.3,42.4,1.0
52490,NoStorm2001,1,2001.0,40.79006546666667,-74.76979353333333,12.0,1050.0,-109.3,42.4,3.0
52538,NoStorm2001,2,2001.0,29.637535149999998,-89.772875,12.0,1050.0,-109.3,42.4,2.0
52586,NoStorm2001,3,2001.0,33.52586593333333,-80.53756848333333,12.0,1050.0,-109.3,42.4,6.0
52682,NoStorm2001,5,2001.0,30.03201695714286,-96.58191605714286,12.0,1050.0,-109.3,42.4,7.0
52731,NoStorm2002,0,2002.0,33.65256924285715,-97.76046107142858,12.0,1050.0,-109.3,42.4,14.0
52779,NoStorm2002,1,2002.0,35.108493,-77.04411429999999,12.0,1050.0,-109.3,42.4,1.0
52827,NoStorm2002,2,2002.0,31.411425400000002,-90.43832130714286,12.0,1050.0,-109.3,42.4,14.0
52875,NoStorm2002,3,2002.0,33.4190035,-84.67104455,12.0,1050.0,-109.3,42.4,2.0
52971,NoStorm2002,5,2002.0,30.170270332062938,-95.22788862928655,12.0,1050.0,-109.3,42.4,36.0
53020,NoStorm2003,0,2003.0,34.09619022857143,-97.73720137619048,12.0,1050.0,-109.3,42.4,21.0
53068,NoStorm2003,1,2003.0,39.94395085,-76.45366764999999,12.0,1050.0,-109.3,42.4,14.0
53116,NoStorm2003,2,2003.0,31.227128108333332,-90.59456400416667,12.0,1050.0,-109.3,42.4,24.0
53164,NoStorm2003,3,2003.0,34.043443350000004,-82.93322081428572,12.0,1050.0,-109.3,42.4,14.0
